Date : 2022-07-12 11:22:12
Directory : /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio
Total : 676 files,  129162 codes, 45034 comments, 26850 blanks, all 201046 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| demo/CMakeFiles/3.23.2/CompilerIdCXX                                                                                                   |          1 |        621 |         63 |        133 |        817 |
| demo/CMakeFiles/demo.dir                                                                                                               |          3 |         27 |          0 |          9 |         36 |
| demo/app                                                                                                                               |          7 |        293 |         65 |        106 |        464 |
| demo/app/CMakeFiles                                                                                                                    |          5 |         59 |          0 |         15 |         74 |
| demo/app/CMakeFiles/adasbusiness.dir                                                                                                   |          4 |         47 |          0 |         10 |         57 |
| ft                                                                                                                                     |          1 |         42 |          0 |          6 |         48 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                               | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/any_io_executor.hpp                                | C++          |        196 |         54 |         54 |        304 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_allocator.hpp                           | C++          |        102 |         46 |         30 |        178 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_cancellation_slot.hpp                   | C++          |        107 |         42 |         30 |        179 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associated_executor.hpp                            | C++          |        136 |         51 |         36 |        223 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/associator.hpp                                     | C++          |         16 |         10 |         10 |         36 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/async_result.hpp                                   | C++          |      1,010 |         78 |        184 |      1,272 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/awaitable.hpp                                      | C++          |         88 |         22 |         33 |        143 |
| /home/allen/Documents/code/demo/CPlusPlus/tcpio/asio/app/infrastructure/common/asio/basic_datagram_socket.hpp                          | C++          |        468 |        809 |         75 |      1,352 |
